20230828	02:00:26	98cbe086-1f93-4aa1-ae14-605accf24fa9	GET	undefined	/css/style.css
20230828	02:00:26	3b927a89-eceb-478b-aaff-07501d349ac1	GET	undefined	/img/img1.jpg
20230828	02:00:32	2a6a6191-9a5d-4b0b-a9fd-8ee64453230d	GET	undefined	/new-page.html
20230828	02:00:32	b63c3eda-5a1c-4100-8f23-2d944b1d78cd	GET	undefined	/css/style.css
20230828	02:00:32	52679a25-c71f-4d4c-8602-e02e2ad5ad9a	GET	undefined	/img/img1.jpg
20230828	02:00:46	68570cf3-cf91-4dbd-95ff-11fbe115896c	GET	undefined	/index.html
20230828	02:00:46	debd2d29-23fa-4fd2-a62a-1fadc612932d	GET	undefined	/css/style.css
20230828	02:00:48	b6e3ec60-051e-4898-b653-e94ff5c7ad51	GET	undefined	/index
20230828	02:00:48	06e0f8c7-b802-4c70-b843-addd452e6791	GET	undefined	/css/style.css
20230828	02:13:49	3260aa54-8eda-4ad8-ab51-bee9f3e96967	GET	undefined	/employees
20230828	02:14:20	f7233a10-5e24-434d-a09d-45f31e4279ae	POST	undefined	/employees
20230828	02:14:56	62ce50c0-0a40-4028-94fb-7bec1909fc95	POST	undefined	/employees
20230828	02:15:55	5f6719c6-5b67-4872-8457-f0dd37f853f8	PUT	undefined	/employees
20230828	02:16:32	eddbac36-786a-400b-b034-bcb919a151ec	DELETE	undefined	/employees
20230828	02:16:38	351eb8ee-8d3d-4ef3-9615-e9deebeb0bd6	DELETE	undefined	/employees
20230828	02:16:41	dc582c9a-812a-4033-b672-091a5dead7f1	DELETE	undefined	/employees
20230828	02:17:03	a58cdb00-93ba-499f-bf4f-d694ee68057b	GET	undefined	/employees/1
20230828	08:49:55	32497b0c-42ad-4524-8499-f4abf4d5e975	GET	undefined	/employees/1
20230828	08:50:19	324d7a5d-73cb-4a55-ac45-d928969a9126	GET	undefined	/employees
20230828	08:50:37	e2aacb1f-d180-429f-becc-1eb92c77abca	POST	undefined	/employees
